WY,riprap_approx,riprap_spline,observed
1997,75547.76,77978.79743319811,NA
1998,76665.16,78801.39701768076,NA
1999,77782.56,79527.87362248405,NA
2000,78899.95999999999,80158.64669172622,NA
2001,80017.36,80694.13566952547,NA
2002,81134.76,81134.76,81134.76
2003,81364.26,81483.95316186015,NA
2004,81593.76,81757.20477218466,NA
2005,81823.26,81973.01848264439,NA
2006,82052.76,82149.89794491018,NA
2007,82282.26,82306.34681065287,NA
2008,82511.76,82460.86873154336,NA
2009,82741.26,82631.96735925246,NA
2010,82970.76,82838.14634545102,NA
2011,83200.26,83097.90934180992,NA
2012,83429.76,83429.76,83429.76
2013,83985.00499999999,83846.6016043719,NA
2014,84540.25,84338.9359699955,NA
2015,85095.495,84891.66454462043,NA
2016,85650.73999999999,85489.68877599639,NA
2017,86205.985,86117.91011187302,NA
2018,86761.23,86761.23,86761.23
2019,86761.23,87407.06631350203,NA
2020,86761.23,88052.90262700405,NA
2021,86761.23,88698.73894050608,NA
2022,86761.23,89344.57525400812,NA
2023,86761.23,89990.41156751013,NA
2024,86761.23,90636.24788101217,NA
